index,target,source,flow
918,06-348,06-472,1254
919,06-348,06-488,1572
920,06-348,08-216,698
921,06-348,08-99999,397
922,06-348,09-25540,294
923,06-348,09-408,2909
924,06-348,09-99999,84
925,06-348,10-428,1050
926,06-348,10-99999,23
927,06-348,11-47900,303
928,06-348,12-300,173
929,06-348,12-370,728
930,06-348,12-422,222
931,06-348,12-45300,255
932,06-348,12-99999,403
933,06-348,13-122,996
934,06-348,13-496,96
935,06-348,13-99999,385
936,06-348,16-99999,555
937,06-348,17-176,1787
938,06-348,17-476,525
939,06-348,17-99999,448
940,06-348,18-258,186
941,06-348,18-294,456
942,06-348,18-99999,407
943,06-348,19-99999,587
944,06-348,20-312,576
945,06-348,20-556,358
946,06-348,20-99999,241
947,06-348,21-178,570
948,06-348,21-350,317
949,06-348,21-99999,383
950,06-348,22-12940,75
951,06-348,22-29340,22
952,06-348,22-406,195
953,06-348,22-99999,198
954,06-348,23-99999,150
955,06-348,24-12580,230
956,06-348,24-99999,123
957,06-348,25-148,1016
958,06-348,25-99999,143
959,06-348,26-220,565
960,06-348,26-266,361
961,06-348,26-99999,420
962,06-348,27-378,774
963,06-348,27-99999,261
964,06-348,28-99999,386
965,06-348,29-99999,444
966,06-348,30-99999,340
967,06-348,31-420,215
968,06-348,31-99999,202
969,06-348,32-332,2
970,06-348,32-99999,1269
971,06-348,33-99999,66
972,06-348,35-99999,518
973,06-348,36-104,130
974,06-348,36-160,355
975,06-348,36-464,142
976,06-348,36-99999,413
977,06-348,37-172,414
978,06-348,37-268,473
979,06-348,37-450,230
980,06-348,37-99999,453
981,06-348,38-99999,87
982,06-348,39-184,524
983,06-348,39-198,463
984,06-348,39-212,192
985,06-348,39-99999,485
986,06-348,40-416,212
987,06-348,40-538,296
988,06-348,40-99999,219
989,06-348,41-440,1656
990,06-348,41-99999,722
991,06-348,42-430,295
992,06-348,42-99999,843
993,06-348,45-16700,104
994,06-348,45-273,309
995,06-348,45-99999,290
996,06-348,46-99999,152
997,06-348,47-314,130
998,06-348,47-368,323
999,06-348,47-400,298
1000,06-348,47-99999,403
1001,06-348,48-12420,224
1002,06-348,48-13140,54
1003,06-348,48-204,43
1004,06-348,48-206,1423
1005,06-348,48-238,296
1006,06-348,48-288,1024
1007,06-348,48-29700,96
1008,06-348,48-41700,290
1009,06-348,48-99999,999
1010,06-348,49-482,1699
1011,06-348,49-99999,362
1012,06-348,50-99999,163
1013,06-348,51-40060,196
1014,06-348,51-545,205
1015,06-348,51-99999,394
1016,06-348,53-500,1734
1017,06-348,53-99999,752
1018,06-348,54-99999,148
1019,06-348,55-376,460
1020,06-348,55-99999,817
1021,06-348,56-99999,177
1022,06-41740,06-472,203
1023,06-41740,06-488,728
1024,06-41740,08-216,137
1025,06-41740,08-99999,55
1026,06-41740,09-25540,52
1027,06-41740,09-408,436
1028,06-41740,09-99999,18
1029,06-41740,10-428,134
1030,06-41740,10-99999,3
1031,06-41740,11-47900,51
1032,06-41740,12-300,24
1033,06-41740,12-370,84
1034,06-41740,12-422,38
1035,06-41740,12-45300,53
1036,06-41740,12-99999,74
1037,06-41740,13-122,134
1038,06-41740,13-496,8
1039,06-41740,13-99999,45
1040,06-41740,16-99999,49
1041,06-41740,17-176,210
1042,06-41740,17-476,74
1043,06-41740,17-99999,63
1044,06-41740,18-258,23
1045,06-41740,18-294,77
1046,06-41740,18-99999,68
1047,06-41740,19-99999,74
1048,06-41740,20-312,64
1049,06-41740,20-556,69
1050,06-41740,20-99999,29
1051,06-41740,21-178,76
1052,06-41740,21-350,36
1053,06-41740,21-99999,125
1054,06-41740,22-12940,11
1055,06-41740,22-29340,3
1056,06-41740,22-406,48
1057,06-41740,22-99999,27
1058,06-41740,23-99999,55
1059,06-41740,24-12580,56
1060,06-41740,24-99999,16
1061,06-41740,25-148,218
1062,06-41740,25-99999,38
1063,06-41740,26-220,167
